診療年月：H30年04月～H31年03月　外用薬 外来（院外）　※集計結果が1000未満の場合は「‐」で表示（1000未満の箇所が1箇所の場合は1000以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,男,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上
,,661140193,アデフロニックズポ２５　２５ｍｇ,個,1147700J2029,19.9 ,1,"964,989 ",-,-,-,-,"1,525 ","1,463 ","2,588 ","3,648 ","4,923 ","6,632 ","8,322 ","9,004 ","12,057 ","22,934 ","32,855 ","35,705 ","40,516 ","34,200 ","13,224 ","3,091 ",-,-,-,-,"1,611 ","2,815 ","3,190 ","3,915 ","5,533 ","9,436 ","14,714 ","18,624 ","20,357 ","26,405 ","56,622 ","72,376 ","122,407 ","156,036 ","145,799 ","56,806 ","11,791 ","1,636 "
,,622060802,アセトアミノフェン坐剤小児用１００ｍｇ「ＪＧ」,個,1141700J2181,19.3 ,0,"954,704 ","490,557 ","3,673 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"455,200 ","2,956 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,661140180,カロナール坐剤１００　１００ｍｇ,個,1141700J2050,19.3 ,0,"949,954 ","484,621 ","7,672 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"440,717 ","6,586 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,333 ","1,437 ","1,588 ",-,-
,,661140207,ボンフェナック坐剤５０　５０ｍｇ,個,1147700J3106,19.9 ,1,"850,430 ",-,-,-,"1,802 ","3,107 ","5,397 ","10,601 ","16,533 ","27,256 ","29,262 ","34,905 ","37,823 ","46,057 ","52,058 ","47,655 ","45,005 ","35,899 ","16,023 ","5,384 ",-,-,-,-,-,-,"2,256 ","4,084 ","5,687 ","10,854 ","15,011 ","23,303 ","27,792 ","30,933 ","34,541 ","56,581 ","57,047 ","60,974 ","62,786 ","30,253 ","10,299 ","1,042 ",-
,,661140198,ボンフェナック坐剤２５　２５ｍｇ,個,1147700J2088,19.9 ,1,"786,908 ",-,-,-,-,-,-,"1,508 ","2,073 ","3,889 ","4,898 ","6,757 ","8,362 ","10,389 ","17,723 ","22,529 ","30,246 ","33,207 ","27,286 ","10,556 ","3,973 ",-,-,-,-,"1,062 ","1,620 ","2,195 ","3,510 ","4,828 ","6,958 ","10,157 ","11,355 ","13,860 ","23,160 ","41,663 ","57,993 ","99,447 ","135,651 ","120,347 ","55,034 ","9,811 ","1,603 "
,,620002620,アンヒバ坐剤小児用５０ｍｇ,個,1141700J1045,19.3 ,0,"631,207 ","295,333 ","1,219 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"331,887 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,661140181,カロナール坐剤２００　２００ｍｇ,個,1141700J3048,26.5 ,0,"561,323 ","169,757 ","71,103 ","3,892 ","1,214 ",-,-,"1,020 ","1,208 ",-,"1,248 ",-,"1,536 ","1,882 ","3,140 ","2,982 ","5,398 ","6,867 ","8,241 ","4,552 ","1,295 ",-,"122,554 ","53,696 ","3,018 ",-,"1,012 ",-,-,-,-,"1,894 ","1,296 ","1,861 ","2,618 ","4,253 ","5,573 ","8,789 ","13,444 ","17,921 ","20,156 ","8,535 ","1,648 "
,,621557001,アセトアミノフェン坐剤小児用２００ｍｇ「ＴＹＫ」,個,1141700J3137,19.9 ,1,"511,985 ","198,338 ","65,384 ","2,733 ",-,-,-,-,-,-,-,-,-,-,-,"1,498 ","1,611 ","1,768 ","1,875 ","1,352 ",-,-,"148,519 ","52,409 ","2,086 ",-,-,-,-,-,-,-,-,-,-,"2,365 ","1,318 ","4,220 ","4,484 ","5,998 ","5,134 ","1,757 ",-
,,622057601,ノルスパンテープ５ｍｇ,枚,1149704S1020,"1,567.6 ",0,"503,323 ",-,-,-,-,-,-,-,"1,480 ","2,646 ","4,343 ","6,176 ","7,238 ","8,662 ","14,914 ","19,797 ","27,849 ","28,539 ","24,076 ","11,749 ","2,450 ",-,-,-,-,-,-,-,"1,108 ","2,114 ","4,372 ","5,635 ","6,889 ","8,964 ","9,967 ","18,762 ","28,777 ","54,829 ","72,396 ","74,471 ","40,995 ","10,419 ","1,122 "
,,621362359,ジクロフェナクナトリウム坐剤５０ｍｇ「ＣＨ」,個,1147700J3262,19.9 ,1,"468,780 ",-,-,-,"1,209 ","1,682 ","3,765 ","6,181 ","9,613 ","14,337 ","22,545 ","20,263 ","19,139 ","21,954 ","29,213 ","27,301 ","22,792 ","19,436 ","11,324 ","2,016 ",-,-,-,-,-,-,"1,298 ","2,054 ","3,800 ","5,104 ","7,584 ","12,323 ","13,976 ","16,178 ","18,431 ","26,511 ","30,989 ","37,678 ","32,291 ","18,792 ","6,974 ","1,226 ",-
,,661140079,ボルタレンサポ１２．５ｍｇ,個,1147700J1057,37.0 ,0,"458,946 ",-,"1,968 ",-,-,-,-,-,-,-,-,-,-,"2,211 ","4,620 ","6,085 ","12,279 ","12,743 ","17,304 ","12,168 ","3,503 ",-,-,"1,222 ",-,-,-,-,-,"1,396 ","2,054 ","4,481 ","3,172 ","6,566 ","6,527 ","11,701 ","20,815 ","38,511 ","75,146 ","105,241 ","70,994 ","24,394 ","4,430 "
,,661140092,アルピニー坐剤５０　５０ｍｇ,個,1141700J1029,19.3 ,0,"453,047 ","210,999 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"239,932 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,661140242,インテバン坐剤５０　５０ｍｇ,個,1145700J3012,19.3 ,0,"394,968 ",-,-,-,-,"1,008 ","1,324 ","2,319 ","3,759 ","4,752 ","6,546 ","10,037 ","13,396 ","14,895 ","15,200 ","18,177 ","15,701 ","14,712 ","7,615 ","3,250 ",-,-,-,-,-,-,-,-,"1,696 ","2,753 ","7,566 ","10,321 ","12,856 ","18,273 ","24,323 ","35,159 ","34,498 ","42,096 ","30,768 ","24,443 ","11,991 ","2,243 ",-
,,621556901,アセトアミノフェン坐剤小児用１００ｍｇ「ＴＹＫ」,個,1141700J2165,19.3 ,0,"356,950 ","183,056 ","1,486 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"170,222 ","1,120 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,621362241,ジクロフェナクナトリウム坐剤２５ｍｇ「ＣＨ」,個,1147700J2223,19.9 ,1,"345,235 ",-,-,-,-,-,-,-,-,"1,493 ","2,755 ","2,534 ","3,499 ","4,648 ","7,929 ","7,885 ","13,752 ","15,569 ","12,535 ","3,832 ","1,076 ",-,-,-,-,-,-,-,"1,648 ","2,666 ","2,460 ","4,433 ","4,721 ","8,062 ","10,624 ","14,558 ","27,697 ","44,255 ","66,270 ","47,775 ","20,879 ","6,493 ",-
,,620072501,アセトアミノフェン坐剤小児用２００ｍｇ「日新」,個,1141700J3161,19.9 ,1,"297,029 ","110,140 ","37,536 ","1,603 ",-,-,-,-,-,-,-,-,-,-,-,"1,181 ","1,289 ","1,820 ","2,675 ","1,516 ",-,-,"78,858 ","29,779 ","1,248 ",-,-,-,-,-,-,-,-,-,-,-,-,"2,591 ","2,852 ","5,114 ","5,868 ","2,001 ",-
