"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
620006710,アズレンガーグル４％「マイラン」,2260700F1099,46.8 ,1,"190,167 "
620415601,ポピラールガーグル７％,2260701F1344,2.4 ,1,"49,593 "
621703904,アズレンうがい液４％「ＴＳＵ」,2260700F1137,46.8 ,1,"45,428 "
620004788,アズノール・ガーグル顆粒０．４％,2260700C1092,6.2 ,0,"37,109 "
620003012,アズレイうがい液４％,2260700F1056,46.8 ,1,"33,905 "
620415201,ポビドンヨードガーグル液７％「東海」,2260701F1328,2.4 ,1,"20,505 "
660421113,フルタイド１００ロタディスク　１００μｇ,2290700G2022,33.4 ,0,"2,109,804 "
660421114,フルタイド２００ロタディスク　２００μｇ,2290700G3029,43.2 ,0,"1,559,622 "
620004366,パルミコート吸入液０．２５ｍｇ　２ｍＬ,2290701G4020,257.3 ,0,"1,393,531 "
620004367,パルミコート吸入液０．５ｍｇ　２ｍＬ,2290701G5026,341.7 ,0,"1,045,676 "
621950801,シムビコートタービュヘイラー６０吸入,2290801G2025,"5,892.8 ",0,"1,042,237 "
621781501,アドエア２５０ディスカス２８吸入用　２８ブリスター,2290800G2039,"3,447.4 ",0,"433,594 "
621829601,アドエア２５０ディスカス６０吸入用　６０ブリスター,2290800G5038,"7,269.8 ",0,"411,835 "
660421112,フルタイド５０ロタディスク　５０μｇ,2290700G1026,24.9 ,0,"213,329 "
660451013,フルタイド１００ディスカス　１００μｇ６０ブリスター,2290700G5021,"2,002.2 ",0,"144,118 "
622375501,レルベア１００エリプタ３０吸入用,2290803G3020,"5,987.2 ",0,"143,900 "
660451016,フルタイド２００ディスカス　２００μｇ６０ブリスター,2290700G6028,"2,619.2 ",0,"136,012 "
621950701,シムビコートタービュヘイラー３０吸入,2290801G1029,"2,996.3 ",0,"131,389 "
621781401,アドエア１００ディスカス２８吸入用　２８ブリスター,2290800G1032,"2,990.8 ",0,"127,921 "
620005291,パルミコート２００μｇタービュヘイラー５６吸入　１１．２ｍｇ,2290701G2035,"1,689.6 ",0,"123,197 "
622279201,レルベア１００エリプタ１４吸入用,2290803G1028,"2,835.1 ",0,"120,583 "
622375601,レルベア２００エリプタ３０吸入用,2290803G4027,"6,692.6 ",0,"118,532 "
622278201,フルティフォーム１２５エアゾール１２０吸入用,2290802G4022,"6,759.1 ",0,"112,927 "
621829501,アドエア１００ディスカス６０吸入用　６０ブリスター,2290800G4031,"6,313.5 ",0,"89,058 "
620004890,オルベスコ２００μｇインヘラー５６吸入用　１１．２ｍｇ３．３ｇ,2290702G3028,"2,378.4 ",0,"75,448 "
622278001,フルティフォーム１２５エアゾール５６吸入用,2290802G2020,"3,213.9 ",0,"73,933 "
621829701,アドエア５００ディスカス６０吸入用　６０ブリスター,2290800G6034,"8,300.5 ",0,"73,209 "
622279301,レルベア２００エリプタ１４吸入用,2290803G2024,"3,164.3 ",0,"63,741 "
621781601,アドエア５００ディスカス２８吸入用　２８ブリスター,2290800G3035,"3,894.6 ",0,"55,124 "
620005292,パルミコート２００μｇタービュヘイラー１１２吸入　２２．４ｍｇ,2290701G3031,"2,198.4 ",0,"46,873 "
621572201,フルタイド１００μｇエアゾール６０吸入用　１２．２５ｍｇ７．０ｇ,2290700G8039,"2,034.0 ",0,"32,388 "
