院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	フェキソフェナジン塩酸塩錠30mg「FFP」	Fexofenadine Hydrochloride「FFP」	富士フイルムファーマ		錠：内服	30mg1錠	18.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2063	122475701	薬価収載2013.06.21	FF133／30	薄橙		結晶セルロース，部分アルファー化デンプン，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，軽質無水ケイ酸，ステアリン酸マグネシウム，ヒプロメロース，マクロゴール6000，酸化チタン，三二酸化鉄，黄色三二酸化鉄，カルナウバロウ
	フェキソフェナジン塩酸塩錠30mg「JG」		日本ジェネリック		錠：内服	30mg1錠	18.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2268	122912701	薬価収載2013.12.13	JG G22／30	薄橙		部分アルファー化デンプン，結晶セルロース，クロスカルメロースナトリウム，ステアリン酸カルシウム，ヒプロメロース，マクロゴール6000，酸化チタン，軽質無水ケイ酸，三二酸化鉄，黄色三二酸化鉄，カルナウバロウ
	フェキソフェナジン塩酸塩錠30mg「KN」	Fexofenadine Hydrochloride「KN」	小林化工		錠：内服	30mg1錠	18.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2047	122233301	薬価収載2012.12.14	30mgフェキソKN	薄橙		結晶セルロース，部分アルファー化デンプン，クロスカルメロースナトリウム，ポビドン，軽質無水ケイ酸，ステアリン酸マグネシウム，ヒプロメロース，酸化チタン，マクロゴール400，三二酸化鉄，黄色三二酸化鉄
	【削除品】フェキソフェナジン塩酸塩錠30mg「KOG」	Fexofenadine Hydrochloride“KOG”	興和	興和創薬	錠：内服	30mg1錠	26.70円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2071		薬価削除2018.03.31〔代替品：フェキソフェナジン塩酸塩錠30mg「BMD」〕				部分アルファー化デンプン，結晶セルロース，クロスカルメロースナトリウム，ステアリン酸カルシウム，ヒプロメロース，マクロゴール6000，酸化チタン，軽質無水ケイ酸，三二酸化鉄，黄色三二酸化鉄，カルナウバロウ
	フェキソフェナジン塩酸塩錠30mg「NP」	Fexofenadine Hydrochloride	ニプロ		錠：内服	30mg1錠	18.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2080	122585301	薬価収載2013.06.21	NP175／30 NP-175	薄橙		結晶セルロース，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，部分アルファー化デンプン，軽質無水ケイ酸，ステアリン酸マグネシウム，ヒプロメロース，マクロゴール，酸化チタン，三二酸化鉄，黄色三二酸化鉄，カルナウバロウ
	フェキソフェナジン塩酸塩錠30mg「SANIK」	Fexofenadine Hydrochloride	日医工サノフィ	日医工	錠：内服	30mg1錠	23.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2098	122490001	薬価収載2013.06.21	〓01／30 〓01 30	薄橙		結晶セルロース，部分アルファー化デンプン，クロスカルメロースナトリウム，ステアリン酸マグネシウム，軽質無水ケイ酸，ヒプロメロース，ポビドン，酸化チタン，マクロゴール400，三二酸化鉄，黄色三二酸化鉄
	フェキソフェナジン塩酸塩錠30mg「TCK」	Fexofenadine Hydrochloride	辰巳化学		錠：内服	30mg1錠	23.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2101	122540201	薬価収載2013.06.21	TU531／30	薄橙		部分アルファー化デンプン，セルロース，クロスカルメロースNa，ステアリン酸Ca，ヒプロメロース，マクロゴール，酸化チタン，無水ケイ酸，三二酸化鉄，黄色三二酸化鉄，カルナウバロウ
	フェキソフェナジン塩酸塩錠30mg「TOA」	Fexofenadine Hydrochloride「TOA」	東亜薬品	日東メディック	錠：内服	30mg1錠	18.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2110	122254801	薬価収載2013.06.21	TM123／30	薄橙		部分アルファー化デンプン，結晶セルロース，クロスカルメロースナトリウム，ステアリン酸カルシウム，ヒプロメロース，マクロゴール6000，酸化チタン，軽質無水ケイ酸，三二酸化鉄，黄色三二酸化鉄，カルナウバロウ
	フェキソフェナジン塩酸塩錠30mg「YD」	Fexofenadine Hydrochloride	陽進堂		錠：内服	30mg1錠	18.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2128	122337801	薬価収載2013.06.21	YD548／30	薄橙		部分アルファー化デンプン，セルロース，ポビドン，クロスカルメロースNa，無水ケイ酸，ステアリン酸Mg，ヒプロメロース，酸化チタン，マクロゴール，三二酸化鉄，カルナウバロウ
	フェキソフェナジン塩酸塩錠30mg「ZE」	Fexofenadine Hydrochloride「ZE」	全星薬品工業	全星薬品	錠：内服	30mg1錠	23.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2136	121843501	薬価収載2013.06.21	ZE76／30	薄橙		結晶セルロース，部分アルファー化デンプン，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，軽質無水ケイ酸，ステアリン酸マグネシウム，ヒプロメロース，マクロゴール6000，酸化チタン，三二酸化鉄，黄色三二酸化鉄，カルナウバロウ
	フェキソフェナジン塩酸塩錠30mg「アメル」	Fexofenadine HCl	共和薬品工業		錠：内服	30mg1錠	23.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2144	122378101	薬価収載2013.06.21	Kw FE／30 Kw FE30	薄橙		結晶セルロース，部分アルファー化デンプン，クロスカルメロースナトリウム，ヒドロキシプロピルセルロース，軽質無水ケイ酸，ステアリン酸マグネシウム，ヒプロメロース，マクロゴール6000，酸化チタン，三二酸化鉄，黄色三二酸化鉄，カルナウバロウ
	フェキソフェナジン塩酸塩錠30mg「杏林」	Fexofenadine Hydrochloride“KYORIN”	キョーリンリメディオ	杏林製薬	錠：内服	30mg1錠	18.40円／錠	後局	アレルギー性疾患治療剤	449	フェキソフェナジン塩酸塩	fexofenadine hydrochloride（JP）	4490023F2152	122349101	薬価収載2013.06.21	KRM161／30	薄橙		部分アルファー化デンプン，結晶セルロース，クロスカルメロースナトリウム，ステアリン酸カルシウム，ヒプロメロース，マクロゴール6000，酸化チタン，軽質無水ケイ酸，三二酸化鉄，黄色三二酸化鉄，カルナウバロウ
