type,code,ingredient,norm,v1,v2,v3,name,maker,generic,brand,authorized,price,deadline,note
内用薬,5200048D1062,五苓散エキス,１ｇ,,,,太虎堂の五苓散料エキス顆粒,太虎精堂製薬,,,,12.90 ,,
内用薬,5200048D1070,五苓散エキス,１ｇ,,,,ツムラ五苓散エキス顆粒（医療用）,ツムラ,,,,14.00 ,,
内用薬,5200048D1089,五苓散エキス,１ｇ,,,,テイコク五苓散エキス顆粒,帝國漢方製薬,,,,7.10 ,,
内用薬,5200048D1119,五苓散エキス,１ｇ,,,,マツウラ五苓散料エキス顆粒,松浦薬業,,,,11.40 ,,
内用薬,5200048F1063,五苓散エキス,１錠,,,,クラシエ五苓散料エキス錠,大峰堂薬品工業,,,,5.70 ,,
内用薬,5200049C1029,柴陥湯エキス,１ｇ,,,,コタロー柴陥湯エキス細粒,小太郎漢方製薬,,,,30.00 ,,
内用薬,5200049D1024,柴陥湯エキス,１ｇ,,,,太虎堂の柴陥湯エキス顆粒,太虎精堂製薬,,,,33.00 ,,
内用薬,5200049D1032,柴陥湯エキス,１ｇ,,,,ツムラ柴陥湯エキス顆粒（医療用）,ツムラ,,,,33.60 ,,
内用薬,5200050C1030,柴胡加竜骨牡蛎湯エキス,１ｇ,,,,コタロー柴胡加竜骨牡蛎湯エキス細粒,小太郎漢方製薬,,,,17.00 ,,
内用薬,5200050C1048,柴胡加竜骨牡蛎湯エキス,１ｇ,,,,ジュンコウ柴胡加龍骨牡蠣湯ＦＣエキス細粒医療用,康和薬通,,,,23.30 ,,
内用薬,5200050C1056,柴胡加竜骨牡蛎湯エキス,１ｇ,,,,クラシエ柴胡加竜骨牡蛎湯エキス細粒,クラシエ製薬,,,,22.30 ,,
内用薬,5200050D1027,柴胡加竜骨牡蛎湯エキス,１ｇ,,,,オースギ柴胡加竜骨牡蛎湯エキスＧ,大杉製薬,,,,15.00 ,,
内用薬,5200050D1060,柴胡加竜骨牡蛎湯エキス,１ｇ,,,,ＪＰＳ柴胡加竜骨牡蛎湯エキス顆粒〔調剤用〕,ジェーピーエス製薬,,,,16.60 ,,
内用薬,5200050D1086,柴胡加竜骨牡蛎湯エキス,１ｇ,,,,太虎堂の柴胡加竜骨牡蛎湯エキス顆粒,太虎精堂製薬,,,,17.50 ,,
内用薬,5200050D1094,柴胡加竜骨牡蛎湯エキス,１ｇ,,,,ツムラ柴胡加竜骨牡蛎湯エキス顆粒（医療用）,ツムラ,,,,20.90 ,,
内用薬,5200050D1108,柴胡加竜骨牡蛎湯エキス,１ｇ,,,,テイコク柴胡加竜骨牡蛎湯エキス顆粒,帝國漢方製薬,,,,9.60 ,,
内用薬,5200050D1116,柴胡加竜骨牡蛎湯エキス,１ｇ,,,,本草柴胡加竜骨牡蛎湯エキス顆粒－Ｍ,本草製薬,,,,8.90 ,,
