診療年月：H30年04月～H31年03月　内服薬 外来（院外）　※集計結果が1000未満の場合は「‐」で表示（1000未満の箇所が1箇所の場合は1000以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,男,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,
type_code,type_name,code,name,measure,shusai_code,price,generic,total,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上
112,催眠鎮静剤，抗不安剤,610453117,ベンザリン錠５　５ｍｇ,錠,1124003F2222,9.9,0,27235981.25,-,2878,22479.58,57631.9,97936.95,202941.6,344701.3,569910.35,887989.5,1140417.5,1183069.5,1036578,902415.25,1168882.25,1195264,1295054,1122088.75,646788.75,252975.5,37484.5,3126,-,3208.2,13112.3,44858.6,98297.4,235003.9,369288,580857.75,933366.7,1172190.9,1141803.05,1006717.25,1008423,1359908.4,1540840.25,1812264.1,1715482,1266168.05,597785.5,143791.75,19870.4
112,催眠鎮静剤，抗不安剤,611120118,エバミール錠１．０　１ｍｇ,錠,1124010F1021,18.8,0,26961940.2,-,-,2137,23579,92735.5,219271,361092.5,529076.75,742170,887704,874424.25,785629,654025.75,776660.5,842796.5,991643.25,881968.1,547150.5,202534.25,27426.5,1885,-,-,3616.5,46436,198004.5,393055.25,539647.5,690928,983891,1133483,1132874.25,1033463.27,1016860.25,1384334.375,1787022,2168863.85,2281893.95,1719451.4,781771.5,196111.75,25615
112,催眠鎮静剤，抗不安剤,611170159,セパゾン錠１　１ｍｇ,錠,1124014F1038,5.6,0,25782744.81,-,-,3740.75,40193.5,150234,271872.75,516537,837799.5,1164064.9,1461572.6,1361283.1,1212719.55,979301.5,867878.55,708422.5,486809.75,328819.75,136199.5,51771,2200,-,-,-,8279.75,87869.75,234708.5,437516.5,627805.5,877616.75,1311137.75,1649812,1419199.1,1331718.45,1220517.4,1479042.25,1463294.53,1323491.53,980670,531586.65,182836.75,31364.5,2041.75
112,催眠鎮静剤，抗不安剤,611170434,レキソタン錠１　１ｍｇ,錠,1124020F1025,5.6,0,23011028.27,-,3092.5,18430,78720,204930.5,382441.25,606780.5,812102.94,1076421.05,1150809,941492.5,752958.25,507669.25,458043.75,429000.75,344997.5,281875.5,153653,39379,4741.5,-,-,1613.5,21886,154893.5,382063.75,605949,859842.53,1068733.15,1450880.375,1589738.5,1332842.25,1075250.25,970155.35,1099191,1185408.25,1128424.75,1001621,583641.125,210015.5,38827.25,2403.5
112,催眠鎮静剤，抗不安剤,620049401,ロラゼパム錠１ｍｇ「サワイ」,錠,1124022F2110,5.6,1,21921917.95,-,-,4672,43960,215355.75,450193.5,755546,1077819,1432453.5,1606919.5,1351157.5,1012229.75,721912.5,586552,397529,266551.5,161433.5,75055.5,20831.5,1672,-,-,-,4491.5,65572.5,292216,545959.5,831725.5,1091511.5,1452106,1543086,1261921.75,1037496,806371,831088,673742.5,535834.5,419176.5,242180.5,87007,14349.7,3182
112,催眠鎮静剤，抗不安剤,620003151,ジアゼパム錠２ｍｇ「アメル」,錠,1124017F2194,5.6,1,21645569.46,-,4892,14253.75,53001,135974.5,244296.75,409021.5,576286,823283,1049090.5,1001968,853499.5,783662.75,847082.36,731834,617943.75,527268.25,296726.55,94230.5,16308.5,1501,-,2065.25,17662.5,95734,223140,312013.5,477683.5,696967.5,886992.75,1014960.5,925578.25,916521,853909.15,1103800.5,1140941.45,1253651.25,1194759.35,924960.25,403705.45,106510.9,10224.5
112,催眠鎮静剤，抗不安剤,620047401,セニラン錠５ｍｇ,錠,1124020F4040,6.6,1,21222790.05,-,-,1287.5,34680,193909.25,475584.5,904938.5,1360332.4,1879464.5,2045614,1653993.5,1151462,704079,500526.9,276141.5,133162.5,51396.5,14397,3227,-,-,-,-,1813,47139.5,299999.25,605305.5,940929.5,1168859.25,1512422,1642064,1188161,863880.1,558957.5,451447.5,294171.5,154338,71113,26662.9,9655.5,-,-
112,催眠鎮静剤，抗不安剤,622167801,ゾルピデム酒石酸塩錠５ｍｇ「サワイ」,錠,1129009F1246,12.8,1,20940602.23,-,-,3557.3,17821.5,54509,137183.75,185766.5,254172.25,326717.5,462124,482208.5,495004.25,491201.5,724979,924856,1041739,880283.75,554612,223751,37397,2556,-,-,3292,33843.5,120143.75,227166,278485.25,352017.75,464514.5,569222.25,594326.5,695056,799938.5,1288531,1717141.25,2015838,1988337.25,1515990.5,751549,198270,26027.25
112,催眠鎮静剤，抗不安剤,620059301,ゾピクロン錠７．５ｍｇ「サワイ」,錠,1129007F1123,7.3,1,20513311.08,-,-,-,6385.25,32002.5,69047.5,122496.8,206255.58,330855.1498,451675.11,495207.46,545858.7029,597737.0968,915138.2399,1124831.87,1314385.83,1158126.8,819846.5,330612.5,53249,4904,-,-,-,9557.5,39758.5,88399.25,132371.19,197064.3199,298586.7865,376949.078,408332.52,479634.548,595248.904,963365.559,1295229.416,1701625.25,1992000.74,1879949.63,1077308.75,345993,52045.25
112,催眠鎮静剤，抗不安剤,611120111,アモバン錠７．５　７．５ｍｇ,錠,1129007F1026,18.3,0,20209103.24,-,-,-,5155.5,12386.752,33600.5,72803.0298,137346.2996,220322.3299,315937.083,346316.6008,409675.494,445552.3195,700296.6997,982223.24,1315352.9,1265789.25,868584.35,332439.8,54044.5,2468,-,-,1042.8,6566.83324,19099,42815.5,87107.9,163990.3698,260667.0477,355903.1488,397138.38,467501.8599,557038.5871,1020661.484,1536697.229,2176266.25,2408807.35,1974575.5,940429.9,241157,30552.7
