区分,薬価基準収載医薬品コード,成分名,規格,品名,,,,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考,,,,,
外用薬,1147700J3211,ジクロフェナクナトリウム,５０ｍｇ１個,,,,ボラボミン坐剤５０ｍｇ,鶴原製薬,後発品,,,27.50,H28.3.31まで,,,,,,
外用薬,1147700J3254,ジクロフェナクナトリウム,５０ｍｇ１個,,,,ジクロフェナクナトリウム坐剤５０ｍｇ「日医工」,日医工,後発品,,,27.50,,H26.6.20収載,,,,,
外用薬,1147700J3289,ジクロフェナクナトリウム,５０ｍｇ１個,,,,ジクロフェナクＮａ坐剤５０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,27.50,,H27.6.19収載,,,,,
外用薬,1147700J4030,ジクロフェナクナトリウム,２５ｍｇ１筒,,,,レクトス注腸軟膏２５ｍｇ,日医工,後発品,,,100.90,,,,,,,
外用薬,1147700J5036,ジクロフェナクナトリウム,５０ｍｇ１筒,,,,レクトス注腸軟膏５０ｍｇ,日医工,後発品,,,105.60,,,,,,,
外用薬,1149700J1027,ケトプロフェン,５０ｍｇ１個,,,,アネオール坐剤５０,岩城製薬,,先発品,○,37.50,H28.3.31まで,,,,,,
外用薬,1149700J1035,ケトプロフェン,５０ｍｇ１個,,,,エパテック坐剤５０,ビオメディクス,,先発品,○,41.30,H27.3.31まで,,,,,,
外用薬,1149700J1060,ケトプロフェン,５０ｍｇ１個,,,,メジェイド坐剤５０,日新製薬（山形）,後発品,,,23.40,H27.9.30まで,,,,,,
外用薬,1149700J1086,ケトプロフェン,５０ｍｇ１個,,,,ケトプロフェン坐剤５０ｍｇ「タナベ」,長生堂製薬,後発品,,,19.30,H26.9.30まで,,,,,,
外用薬,1149700J1094,ケトプロフェン,５０ｍｇ１個,,,,レイナノン坐剤５０,シオノケミカル,後発品,,,23.40,H28.3.31まで,,,,,,
外用薬,1149700J1108,ケトプロフェン,５０ｍｇ１個,,,,ケトプロフェン坐剤５０ｍｇ「ＪＧ」,長生堂製薬,後発品,,,19.30,,,,,,,
外用薬,1149700J1116,ケトプロフェン,５０ｍｇ１個,,,,ケトプロフェン坐剤５０ｍｇ「日新」,日新製薬（山形）,後発品,,,23.40,,H26.12.12収載,,,,,
外用薬,1149700J1124,ケトプロフェン,５０ｍｇ１個,,,,ケトプロフェン坐剤５０ｍｇ「ＳＮ」,シオノケミカル,後発品,,,23.40,,H27.6.19収載,,,,,
外用薬,1149700J2023,ケトプロフェン,７５ｍｇ１個,,,,アネオール坐剤７５,岩城製薬,,先発品,○,38.30,H28.3.31まで,,,,,,
外用薬,1149700J2031,ケトプロフェン,７５ｍｇ１個,,,,エパテック坐剤７５,ビオメディクス,,先発品,○,47.60,H27.3.31まで,,,,,,
外用薬,1149700J2066,ケトプロフェン,７５ｍｇ１個,,,,メジェイド坐剤７５,日新製薬（山形）,後発品,,,26.90,H27.9.30まで,,,,,,
外用薬,1149700J2082,ケトプロフェン,７５ｍｇ１個,,,,レイナノン坐剤７５,シオノケミカル,後発品,,,26.90,H28.3.31まで,,,,,,
外用薬,1149700J2090,ケトプロフェン,７５ｍｇ１個,,,,ケトプロフェン坐剤７５ｍｇ「タナベ」,長生堂製薬,後発品,,,21.50,H26.9.30まで,,,,,,
外用薬,1149700J2104,ケトプロフェン,７５ｍｇ１個,,,,ケトプロフェン坐剤７５ｍｇ「ＪＧ」,長生堂製薬,後発品,,,21.50,,,,,,,
外用薬,1149700J2112,ケトプロフェン,７５ｍｇ１個,,,,ケトプロフェン坐剤７５ｍｇ「日新」,日新製薬（山形）,後発品,,,26.90,,H26.12.12収載,,,,,
外用薬,1149700J2120,ケトプロフェン,７５ｍｇ１個,,,,ケトプロフェン坐剤７５ｍｇ「ＳＮ」,シオノケミカル,後発品,,,26.90,,H27.6.19収載,,,,,
外用薬,1149701J1013,ピロキシカム,２０ｍｇ１個,,,,ピロキシカム２０ｍｇ坐剤,,後発品,,,22.60,,,,,,,
外用薬,1149701J1102,ピロキシカム,２０ｍｇ１個,,,,バキソ坐剤２０ｍｇ,富山化学工業,,先発品,○,141.10,,,,,,,
外用薬,1149701J1145,ピロキシカム,２０ｍｇ１個,,,,フェルデン坐剤２０ｍｇ,ファイザー,,先発品,○,141.10,,,,,,,
外用薬,1149703J1020,ブプレノルフィン塩酸塩,０．２ｍｇ１個,,,,レペタン坐剤０．２ｍｇ,大塚製薬,,先発品,,171.40,,,,,,,
外用薬,1149703J2027,ブプレノルフィン塩酸塩,０．４ｍｇ１個,,,,レペタン坐剤０．４ｍｇ,大塚製薬,,先発品,,225.90,,,,,,,
外用薬,1149704S1020,ブプレノルフィン,５ｍｇ１枚,,,,ノルスパンテープ５ｍｇ,ムンディファーマ,,先発品,,"1,572.80",,,,,,,
外用薬,1149704S2027,ブプレノルフィン,１０ｍｇ１枚,,,,ノルスパンテープ１０ｍｇ,ムンディファーマ,,先発品,,"2,423.70",,,,,,,
外用薬,1149704S3023,ブプレノルフィン,２０ｍｇ１枚,,,,ノルスパンテープ２０ｍｇ,ムンディファーマ,,先発品,,"3,735.10",,,,,,,
外用薬,1169700S1025,ロチゴチン,２．２５ｍｇ１枚,,,,ニュープロパッチ２．２５ｍｇ,大塚製薬,,先発品,,278.00,,,,,,,
