"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
621893501,ボトックス注用５０単位,1229404D1020,"49,231.0 ",0,"116,991 "
620173601,ボトックス注用１００単位,1229404D2026,"87,536.0 ",0,"79,803 "
622226101,ナーブロック筋注２５００単位　２，５００単位０．５ｍＬ,1229406A1022,"29,728.0 ",0,"3,162 "
620005830,エスラックス静注５０ｍｇ／５．０ｍＬ　５ｍＬ,1229405A2024,"1,085.0 ",0,"2,943 "
620170600,スキサメトニウム注１００「ＡＳ」　２％５ｍＬ,1224400A3013,109.0 ,0,"1,943 "
640444111,マスキュレート静注用４ｍｇ　（溶解液付）,1229403F1034,259.0 ,1,"1,557 "
620170400,スキサメトニウム注２０「ＡＳ」　２％１ｍＬ,1224400A1010,92.0 ,0,"1,502 "
620170500,スキサメトニウム注４０「ＡＳ」　２％２ｍＬ,1224400A2017,92.0 ,0,-
620005829,エスラックス静注２５ｍｇ／２．５ｍＬ,1229405A1028,604.0 ,0,-
620002288,マスキュラックス静注用４ｍｇ　（溶解液付）,1229403F1042,383.0 ,0,-
641220014,スキサメトニウム塩化物注射液　２％５ｍＬ,1224400A3013,109.0 ,0,-
641220042,マスキュラックス静注用１０ｍｇ,1229403F2022,807.0 ,0,-
640444112,マスキュレート静注用１０ｍｇ,1229403F2030,554.0 ,1,-
620003753,ダントリウム静注用２０ｍｇ,1229402D1039,"9,479.0 ",0,-
620008406,レラキシン注用２００ｍｇ　（溶解液付）,1224401X2014,196.0 ,0,-
641220012,スキサメトニウム塩化物注射液　２％１ｍＬ,1224400A1010,92.0 ,0,-
641220013,スキサメトニウム塩化物注射液　２％２ｍＬ,1224400A2017,92.0 ,0,-
620008364,オビソート注射用０．１ｇ　１００ｍｇ（溶解液付）,1232400X1015,364.0 ,0,"81,067 "
641230015,注射用アセチルコリン塩化物　１００ｍｇ（溶解液付）,1232400X1015,364.0 ,0,"6,244 "
641230018,ワゴスチグミン注０．５ｍｇ　０．０５％１ｍＬ,1233400A2016,94.0 ,0,"4,957 "
620008441,アトワゴリバース静注シリンジ３ｍＬ,1233500G1029,416.0 ,0,-
620008442,アトワゴリバース静注シリンジ６ｍＬ,1233500G2025,633.0 ,0,-
620001300,ワゴスチグミン注２ｍｇ　０．０５％４ｍＬ,1233400A3012,256.0 ,0,-
641230011,ネオスチグミンメチル硫酸塩注射液　０．０５％１ｍＬ,1233400A2016,94.0 ,0,-
620008918,ブスコパン注２０ｍｇ　２％１ｍＬ,1242401A1315,58.0 ,0,"4,216,419 "
621669601,ブチルスコポラミン臭化物注２０ｍｇシリンジ「ＮＰ」　１ｍＬ,1242401G1032,155.0 ,1,"384,800 "
620008920,ブチルスコポラミン臭化物注２０ｍｇ「日医工」　２％１ｍＬ,1242401A1331,56.0 ,1,"364,684 "
620003730,セスデン注７．５ｍｇ　０．７５％１ｍＬ,1249400A1036,61.0 ,0,"316,588 "
620004683,スコルパン注２０ｍｇ　２％１ｍＬ,1242401A1277,56.0 ,1,"257,156 "
641240040,アトロピン硫酸塩注射液　０．０５％１ｍＬ,1242405A1011,93.0 ,0,"144,080 "
620182301,ブチルスコポラミン臭化物注２０ｍｇ「ＮＰ」　２％１ｍＬ,1242401A1366,56.0 ,1,"105,465 "
620007471,ブチルミン注射液２０ｍｇ　２％１ｍＬ,1242401A1307,56.0 ,1,"92,268 "
620008950,リラダン注２０ｍｇ　２％１ｍＬ,1242401A1340,56.0 ,1,"84,577 "
620006291,ブチルスコポラミン臭化物注射液２０ｍｇ「タイヨー」　２％１ｍＬ,1242401A1293,56.0 ,1,"59,896 "
620008403,硫酸Ｍｇ補正液１ｍＥｑ／ｍＬ　０．５モル２０ｍＬ,1244401A1018,93.0 ,0,"56,400 "
620005855,アトロピン硫酸塩注０．５ｍｇ「タナベ」　０．０５％１ｍＬ,1242405A1011,93.0 ,0,"55,963 "
620002585,スポラミン注２０ｍｇ　２％１ｍＬ,1242401A1269,56.0 ,1,"39,383 "
620002562,アトロピン注０．０５％シリンジ「テルモ」　１ｍＬ,1242406G1035,157.0 ,1,"17,118 "
620006609,アトロピン硫酸塩注０．５ｍｇ「フソー」　０．０５％１ｍＬ,1242405A1011,93.0 ,0,"16,524 "
641240041,硫酸マグネシウム注射液　０．５モル２０ｍＬ,1244401A1018,93.0 ,0,"7,891 "
620003112,ギャバロン髄注０．２％　５ｍＬ,1249401A3025,"22,751.0 ",0,"5,442 "
620003221,静注用マグネゾール２０ｍＬ,1244400A1030,342.0 ,0,"4,349 "
641240037,パパベリン塩酸塩注射液　４％１ｍＬ,1243400A1016,92.0 ,0,"1,449 "
620003111,ギャバロン髄注０．０５％　２０ｍＬ,1249401A2029,"22,751.0 ",0,"1,230 "
620007425,ハイスコ皮下注０．５ｍｇ　０．０５％１ｍＬ,1242400A1035,62.0 ,0,"1,152 "
620009269,パパベリン塩酸塩注４０ｍｇ「日医工」　４％１ｍＬ,1243400A1016,92.0 ,0,-
620003110,ギャバロン髄注０．００５％　１ｍＬ,1249401A1022,"1,139.0 ",0,-
622199401,アイリーア硝子体内注射液４０ｍｇ／ｍＬ　２ｍｇ０．０５ｍＬ,1319405A1027,"163,840.0 ",0,"175,785 "
620009103,ルセンティス硝子体内注射２．３／０．２３　０．５ｍｇ０．０５ｍＬ,1319403A1028,"181,270.0 ",0,"124,975 "
622352001,ルセンティス硝子体注キット１０ｍｇ／ｍＬ　０．５ｍｇ０．０５ｍＬ,1319403G1020,"181,270.0 ",0,"36,751 "
622019901,マキュエイド硝子体内注用４０ｍｇ,1319404D1029,"8,296.0 ",0,"20,011 "
620001909,ビスダイン静注用１５ｍｇ,1319401F1026,"187,663.0 ",0,"2,377 "
620008448,マクジェン硝子体内注射用キット０．３ｍｇ　９０μＬ,1319402G1026,"126,984.0 ",0,"2,105 "
641160001,トラベルミン注　１ｍＬ,1339500A1025,66.0 ,0,"41,276 "
620008805,エホチール注１０ｍｇ　１％１ｍＬ,2119401A1057,58.0 ,0,"1,494,322 "
620005805,ネオフィリン注２５０ｍｇ　２．５％１０ｍＬ,2115400A1010,92.0 ,0,"1,022,286 "
620008828,ジプロフィリン注３００ｍｇ「エーザイ」　１５％２ｍＬ,2115401A1201,62.0 ,0,"304,850 "
642110008,アミノフィリン注射液　２．５％１０ｍＬ,2115400A1010,92.0 ,0,"132,217 "
620008827,ジプロフィリン注３００ｍｇ「イセイ」　１５％２ｍＬ,2115401A1198,50.0 ,0,"84,664 "
620004301,アミノフィリン静注２５０ｍｇ「トーワ」　２．５％１０ｍＬ,2115400A1010,92.0 ,0,"66,126 "
620008383,ニチフィリン注２５０ｍｇ　２．５％１０ｍＬ,2115400A1010,92.0 ,0,"48,601 "
620003229,ニチフィリンＭ注３００ｍｇ　１５％２ｍＬ,2115401A1155,50.0 ,0,"47,128 "
620004670,ジプロフィリン注３００ｍｇ「日医工」　１５％２ｍＬ,2115401A1171,50.0 ,1,"40,190 "
620005199,ハイフィリン注３００ｍｇ「フソー」　１５％２ｍＬ,2115401A1180,57.0 ,0,"35,350 "
620006616,ジギラノゲン注０．４ｍｇ　０．０２％２ｍＬ,2113401A1010,95.0 ,0,"34,858 "
620009262,キョーフィリン静注２５０ｍｇ　２．５％１０ｍＬ,2115400A1010,92.0 ,0,"29,869 "
620003090,アミノフィリン注２５０ｍｇ「ＮＰ」　２．５％１０ｍＬ,2115400A1010,92.0 ,0,"28,030 "
642110013,アンナカ注「フソー」－１０％　１ｍＬ,2115403A1030,63.0 ,1,"27,807 "
620001937,ネオフィリン注点滴用バッグ２５０ｍｇ　２５０ｍＬ,2115404G1020,218.0 ,0,"26,119 "
620004300,アミノフィリン静注２．５％「ミタ」　１０ｍＬ,2115400A1010,92.0 ,0,"23,885 "
620007400,ニチフィリン注ＰＢ２５０ｍｇ　２．５％１０ｍＬ,2115404A1035,56.0 ,0,"21,260 "
620239017,アミノフィリン静注液２５０ｍｇ「日医工」　２．５％１０ｍＬ,2115400A1010,92.0 ,0,"20,566 "
620006633,テオカルヂン静注２５０ｍｇ　２．５％１０ｍＬ,2115400A1010,92.0 ,0,"15,722 "
620004320,ジゴシン注０．２５ｍｇ　０．０２５％１ｍＬ,2113400A1016,92.0 ,0,"15,367 "
642110015,アンナカ注「フソー」－２０％　１ｍＬ,2115403A2037,63.0 ,1,"13,279 "
620240001,モノフィリン注２００ｍｇ　１０％２ｍＬ,2115402A1036,56.0 ,0,"12,641 "
620008357,アミノフィリン静注液２５０ｍｇ「ツルハラ」　２．５％１０ｍＬ,2115400A1010,92.0 ,0,"4,704 "
642110084,ドブトレックス注射液１００ｍｇ,2119404A1026,"1,208.0 ",0,"4,420 "
642110026,ジゴキシン注射液　０．０２５％１ｍＬ,2113400A1016,92.0 ,0,"4,407 "
620002175,イノバン注１００ｍｇ　５ｍＬ,2119402A1299,848.0 ,0,"3,274 "
620009260,イブタント点滴静注１００ｍｇ　５ｍＬ,2119402A1019,109.0 ,1,"2,987 "
